뉴스제목,링크
"에이블런-캐스팅코드, 직장인 위한 AI 특강 웨비나 시리즈 'Alog' 출시",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212145944
"AMAT, 2나노 한계 넘는 '몰리브덴 ALD' 공개…""AI칩 저항 15% 줄여""",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212141436
"최태원, 가짜뉴스 논란에 쇄신 단행…대한상의 주관 행사 올스톱",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212142953
"퀄컴 스냅드래곤 X2 탑재 PC, 다음달 국내외 출시 전망",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212125256
"나무기술, 2025년 매출 1023억…흑자 전환",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212143312
"노타, 윈드리버와 '온디바이스 AI' 협력…항공·국방 시장 정조준",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212113213
"""개인 컴퓨터로 초거대 AI 학습 가능해진다""...12배 빠른 신기술 등장",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212142434
"카카오, 새 AI 파트너 구글 낙점…오픈AI는?",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212101109
"""로봇끼리 결투""…中, 세계최초 로봇 격투리그 출범",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212105613
"원티드랩, 지난해 영업익 12억원…흑자전환",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212131322
"[이정규 칼럼] AI 시대, 우리는 왜 다시 해적선을 호출하는가",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212132503
삼성전자·이통3사 보이스피싱 탐지 서비스 써보세요,https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212132512
"한국문화정보원, AI 시대 공공저작물 '출처명시 의무' 재검토 필요성 제기",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212131735
"ICT 수출액, 국가 전제 수출 40% 비중 넘어섰다",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212114510
"""보고 싶은 글만 보여줘""…메타, 스레드 AI 추천 제어 기능 도입",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212111111
"지란지교데이터, 국내 첫 합성데이터 개방 사업 수행…활용 기반 확대",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260212111610
